Compound,lipidClassBase,Tissue,FC,log2FC,absFC,CV,p_value,FDR_BH,FDR,lipid_class
PC 40:7 bc,PC,Plasma_Serum,1.2441440118008795,0.3151534895568681,1.2441440118008795,0.568819962677412,0.6111799027118513,0.9598501205666662,0.8288033660562588,PL/NL/CAR
PC 40:8,PC,PLT,1.1211104052869991,0.16492835960355212,1.1211104052869991,0.4267601345551608,0.8695646549465492,0.960267784884537,0.7247937332985562,PL/NL/CAR
PC 40:8,PC,Plasma_Serum,0.9499812883500368,-0.07402899772847939,0.9499812883500368,0.49706113706531724,0.6890645954188992,0.9598501205666662,0.8288033660562588,PL/NL/CAR
PC O-32:0,PC,PLT,1.1792899682714002,0.23791849724215117,1.1792899682714002,0.1444345947988934,0.23055449129271602,0.6815661968872262,0.5144345318128002,PL/NL/CAR
PC O-32:0,PC,Plasma_Serum,1.0894271654808347,0.12356974715408271,1.0894271654808347,0.15589048932172803,0.45129721660273414,0.9083396565776881,0.7843255407933096,PL/NL/CAR
PC O-32:1,PC,PLT,1.1855075759370175,0.2455048823322296,1.1855075759370175,0.1425121601967285,0.19088849264806673,0.6568796702008578,0.4958015628422346,PL/NL/CAR
PC O-32:1,PC,Plasma_Serum,0.9330797481914047,-0.09992770469619106,0.9330797481914047,0.09337338709708577,0.47566259652339216,0.9118597374400399,0.7873650308188826,PL/NL/CAR
PC O-32:2,PC,PLT,0.9136391098310682,-0.13030368592077576,0.9136391098310682,0.17706592162040008,0.9205433054749255,0.9759686877417403,0.7366445067777465,PL/NL/CAR
PC O-32:2,PC,Plasma_Serum,0.7376822817924498,-0.4389285105500189,0.7376822817924498,0.4548965468615806,0.6073551828209065,0.9598501205666662,0.8288033660562588,PL/NL/CAR
PC O-34:1,PC,PLT,1.3597237332504069,0.44331355650710846,1.3597237332504069,0.2502762715013944,0.14289158810486308,0.6271798079056198,0.4733846137263097,PL/NL/CAR
PC O-34:1,PC,Plasma_Serum,1.154512763750099,0.20728412295800577,1.154512763750099,0.1904926907215881,0.30262499874519067,0.9040322266963632,0.7806061972122662,PL/NL/CAR
PC O-34:2,PC,PLT,1.3344140807055365,0.41620641725917706,1.3344140807055365,0.5449147945411101,0.5409807900507994,0.8387190314706426,0.633050808927481,PL/NL/CAR
PC O-34:2,PC,Plasma_Serum,1.0004301791858774,6.204839280899934e-4,1.0004301791858774,0.4191937843125049,0.9342540638265364,0.9850753967339455,0.8505846768559042,PL/NL/CAR
PC O-34:4,PC,PLT,0.8806888694233443,-0.18329566236899178,0.8806888694233443,0.3344268505591771,0.5841737993818843,0.8387190314706426,0.633050808927481,PL/NL/CAR
PC O-34:4,PC,Plasma_Serum,0.851435264951639,-0.23203124963828073,0.851435264951639,0.3523301332450805,0.5609897368123932,0.925258155577198,0.7989341850169881,PL/NL/CAR
PC O-36:0,PC,PLT,0.8791661710285084,-0.1857922202339377,0.8791661710285084,0.06241577137563877,0.3157044029357213,0.7152614289985909,0.539867117869297,PL/NL/CAR
PC O-36:0,PC,Plasma_Serum,0.820880090657236,-0.28475659791280755,0.820880090657236,0.2474359404466613,0.2202674529181813,0.9040322266963632,0.7806061972122662,PL/NL/CAR
PC O-36:1,PC,PLT,0.8793390259694926,-0.18550859642960651,0.8793390259694926,0.1754830413571899,0.6601233553657719,0.8627418663042332,0.6511828346160718,PL/NL/CAR
PC O-36:1,PC,Plasma_Serum,0.6574002385154911,-0.6051561150358357,0.6574002385154911,0.29515039471899834,0.05350971891411982,0.8389559501178072,0.724414677387407,PL/NL/CAR
PC O-36:2 a,PC,PLT,1.4258450463874848,0.511817205515961,1.4258450463874848,0.27708727812660117,0.12702177042224302,0.6271798079056198,0.4733846137263097,PL/NL/CAR
PC O-36:2 a,PC,Plasma_Serum,1.245187405324012,0.31636288959039954,1.245187405324012,0.3545135374103727,0.4181082198035703,0.9083396565776881,0.7843255407933096,PL/NL/CAR
PC O-36:2 b,PC,PLT,1.572076745928901,0.6526716490649619,1.572076745928901,0.3267951710042315,0.11707150530968087,0.6271798079056198,0.4733846137263097,PL/NL/CAR
